InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
581000,22961,JAM MAKING SET PRINTED,12,12/7/2011 8:03,1.45,12720,Germany
581000,21531,RED RETROSPOT SUGAR JAM BOWL,6,12/7/2011 8:03,2.55,12720,Germany
581000,22627,MINT KITCHEN SCALES,2,12/7/2011 8:03,8.5,12720,Germany
581000,22625,RED KITCHEN SCALES,2,12/7/2011 8:03,8.5,12720,Germany
581000,22960,JAM MAKING SET WITH JARS,12,12/7/2011 8:03,3.75,12720,Germany
581000,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,12/7/2011 8:03,1.65,12720,Germany
581000,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,12/7/2011 8:03,3.95,12720,Germany
581000,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,12/7/2011 8:03,4.95,12720,Germany
581000,22723,SET OF 6 HERB TINS SKETCHBOOK,12,12/7/2011 8:03,1.25,12720,Germany
581000,22072,RED RETROSPOT TEA CUP AND SAUCER ,12,12/7/2011 8:03,1.25,12720,Germany
581000,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,24,12/7/2011 8:03,0.39,12720,Germany
581000,84819,DANISH ROSE ROUND SEWING BOX,16,12/7/2011 8:03,0.79,12720,Germany
581000,84820,DANISH ROSE TRINKET TRAYS,16,12/7/2011 8:03,0.79,12720,Germany
581000,23294,SET OF 6 SNACK LOAF BAKING CASES,8,12/7/2011 8:03,0.83,12720,Germany
581000,23295,SET OF 12 MINI LOAF BAKING CASES,8,12/7/2011 8:03,0.83,12720,Germany
581000,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,12/7/2011 8:03,2.95,12720,Germany
581000,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,12/7/2011 8:03,2.95,12720,Germany
581000,22624,IVORY KITCHEN SCALES,2,12/7/2011 8:03,8.5,12720,Germany
581000,POST,POSTAGE,5,12/7/2011 8:03,18.0,12720,Germany
581001,23562,SET OF 6 RIBBONS PERFECTLY PRETTY  ,6,12/7/2011 8:07,2.89,12583,France
581001,22540,MINI JIGSAW CIRCUS PARADE ,48,12/7/2011 8:07,0.19,12583,France
581001,22544,MINI JIGSAW SPACEBOY,48,12/7/2011 8:07,0.19,12583,France
581001,23480,MINI LIGHTS WOODLAND MUSHROOMS,32,12/7/2011 8:07,3.75,12583,France
581001,23084,RABBIT NIGHT LIGHT,24,12/7/2011 8:07,1.79,12583,France
581001,23298,SPOTTY BUNTING,12,12/7/2011 8:07,4.95,12583,France
581001,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,12/7/2011 8:07,0.85,12583,France
581001,22613,PACK OF 20 SPACEBOY NAPKINS,12,12/7/2011 8:07,0.85,12583,France
581001,22617,BAKING SET SPACEBOY DESIGN,3,12/7/2011 8:07,4.95,12583,France
581001,23515,EMBROIDERED RIBBON REEL DAISY ,6,12/7/2011 8:07,2.08,12583,France
